Release_Date	Polling_Start	Polling_End	NrParticipants CDU/CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
11.11.2018	05.11.2018	09.11.2018	2504	27	14	23	9	9	13	5
03.11.2018	29.10.2018	02.11.2018	2502	27	13	24	9	9	13	5
27.10.2018	22.10.2018	26.10.2018	2509	26	14	21	9	10	14	6
20.10.2018	15.10.2018	19.10.2018	2502	27	14	21	9	9	15	5
13.10.2018	08.10.2018	12.10.2018	2504	28	16	19	9	9	14	5
06.10.2018	01.10.2018	05.10.2018	2002	28	16	18	9	10	14	5
29.09.2018	24.09.2018	28.09.2018	2501	28	16	17	9	10	15	5
22.09.2018	17.09.2018	21.09.2018	2502	28	17	16	9	10	15	5
15.09.2018	10.09.2018	14.09.2018	2507	30	18	16	8	10	13	5
08.09.2018	03.09.2018	07.09.2018	2507	31	16	15	9	10	14	5
01.09.2018	27.08.2018	31.08.2018	2503	30	17	16	8	8	16	5
25.08.2018	20.08.2018	24.08.2018	2502	30	18	15	8	10	14	5
18.08.2018	13.08.2018	17.08.2018	2503	30	18	15	9	10	14	4
11.08.2018	06.08.2018	10.08.2018	2505	30	18	15	10	9	14	4
04.08.2018	30.07.2018	03.08.2018	2508	31	18	13	10	9	14	5
28.07.2018	23.07.2018	27.07.2018	2505	32	18	13	9	9	14	5
21.07.2018	16.07.2018	20.07.2018	2505	31	18	13	8	10	15	5
14.07.2018	09.07.2018	13.07.2018	2505	31	17	13	9	9	16	5
07.07.2018	02.07.2018	06.07.2018	2502	30	17	13	10	9	16	5
30.06.2018	25.06.2018	29.06.2018	2508	31	17	12	10	10	15	5
24.06.2018	18.06.2018	22.06.2018	2503	30	17	13	9	10	15	6
16.06.2018	14.06.2018	15.06.2018	1001	30	16	14	10	9	15	6
16.06.2018	11.06.2018	13.06.2018	1501	34	18	12	9	8	13	6
09.06.2018	04.06.2018	08.06.2018	2504	33	18	12	9	10	13	5
02.06.2018	28.05.2018	01.06.2018	2506	34	18	12	8	10	13	5
27.05.2018	22.05.2018	25.05.2018	2002	33	18	13	8	10	13	5
19.05.2018	14.05.2018	18.05.2018	2502	33	18	12	9	9	13	6
12.05.2018	07.05.2018	11.05.2018	2004	34	17	13	8	10	13	5
05.05.2018	30.04.2018	04.05.2018	2003	34	18	11	9	10	13	5
28.04.2018	23.04.2018	27.04.2018	2507	34	17	13	9	10	12	5
23.04.2018	16.04.2018	20.04.2018	2503	34	18	13	9	10	12	4
14.04.2018	09.04.2018	13.04.2018	2506	34	19	12	9	10	12	4
07.04.2018	03.04.2018	06.04.2018	2005	32	20	11	9	10	13	5
31.03.2018	26.03.2018	29.03.2018	2003	33	18	12	9	10	13	5
24.03.2018	19.03.2018	23.03.2018	2502	31	19	12	9	11	14	4
17.03.2018	12.03.2018	16.03.2018	2502	34	19	11	8	10	13	5
11.03.2018	05.03.2018	09.03.2018	2507	34	18	13	9	10	12	4
05.03.2018	04.03.2018	05.03.2018	1502	34	19	12	9	9	13	4
03.03.2018	26.02.2018	02.03.2018	2505	35	18	12	9	9	13	4
24.02.2018	19.02.2018	23.02.2018	2506	35	18	12	9	9	13	4
17.02.2018	12.02.2018	16.02.2018	2501	34	16	13	9	10	13	5
09.02.2018	07.02.2018	08.02.2018	1003	31	18	13	10	10	13	5
05.02.2018	29.01.2018	02.02.2018	2507	33	18	13	9	9	13	5
29.01.2018	22.01.2018	26.01.2018	2505	34	18	12	9	10	12	5
22.01.2018	22.01.2018	22.01.2018	1282 	34	17	12	8	11	13	5
21.01.2018	15.01.2018	19.01.2018	2501	34	18	12	8	10	12	6
18.01.2018	15.01.2018	17.01.2018	1504	34	18	12	8	10	12	6
15.01.2018	08.01.2018	12.01.2018	2501	33	20	12	9	9	11	6
07.01.2018	02.01.2018	05.01.2018	2003	34	20	12	9	9	10	6
27.12.2017	18.12.2017	22.12.2017	2504	34	19	12	8	10	12	5
16.12.2017	11.12.2017	15.12.2017	2501	33	20	12	8	10	12	5
10.12.2017	09.12.2017	10.12.2017	1566	34	20	12	8	9	11	6
10.12.2017	04.12.2017	08.12.2017	2500	34	20	12	8	9	11	6
04.12.2017	27.11.2017	01.12.2017	2502	34	20	13	8	9	10	6
27.11.2017	20.11.2017	24.11.2017	2508	33	19	12	10	9	11	6
20.11.2017	20.11.2017	20.11.2017	1789	31	21	12	10	9	12	5
20.11.2017	13.11.2017	17.11.2017	2505	32	20	11	12	8	12	5
13.11.2017	06.11.2017	10.11.2017	2506	32	20	10	12	9	12	5
06.11.2017	30.10.2017	03.11.2017	2005	32	21	10	11	9	12	5
01.11.2017	23.10.2017	27.10.2017	2500	33	20	11	11	9	11	5
25.10.2017	16.10.2017	20.10.2017	2503	31	22	10	11	10	11	5
18.10.2017	09.10.2017	13.10.2017	2501	32	20	11	11	9	12	5
11.10.2017	02.10.2017	06.10.2017	2001	32	20	11	11	9	12	5
04.10.2017	25.09.2017	29.09.2017	2005	32	20	10	11	10	12	5
22.09.2017	18.09.2017	21.09.2017	2006	36	22	7	9.5	9.5	11	5
19.09.2017	11.09.2017	15.09.2017	2501	36	23	8	9	10	9	5
13.09.2017	04.09.2017	08.09.2017	2505	37	23	8	8	10	9	5
08.09.2017	04.09.2017	07.09.2017	2001	37	23	8	9	10	9	4
06.09.2017	28.08.2017	01.09.2017	2503	38	23	8	8	9	9	5
30.08.2017	21.08.2017	25.08.2017	2501	38	24	7	8	9	9	5
23.08.2017	14.08.2017	18.08.2017	2501	38	24	7	8	9	9	5
16.08.2017	07.08.2017	11.08.2017	2507	39	23	8	8	9	8	5
09.08.2017	31.07.2017	04.08.2017	2503	40	23	8	7	8	8	6
02.08.2017	24.07.2017	28.07.2017	2501	40	22	8	8	8	8	6
26.07.2017	17.07.2017	21.07.2017	2507	40	22	8	8	9	7	6
19.07.2017	10.07.2017	14.07.2017	2502	40	22	8	8	9	7	6
11.07.2017	03.07.2017	07.07.2017	2501	39	22	8	8	9	8	6
05.07.2017	26.06.2017	30.06.2017	2503	39	23	8	8	9	7	6
29.06.2017	26.06.2017	28.06.2017	1507	40	23	9	8	9	7	4
28.06.2017	19.06.2017	23.06.2017	2502	40	23	9	7	9	7	5
21.06.2017	12.06.2017	16.06.2017	2505	39	23	8	8	10	7	5
13.06.2017	06.06.2017	09.06.2017	2004	38	24	8	9	8	7	6
07.06.2017	29.05.2017	02.06.2017	2501	39	24	8	8	8	7	6
31.05.2017	22.05.2017	26.05.2017	2001	38	25	7	9	8	7	6
23.05.2017	15.05.2017	19.05.2017	2502	39	25	7	9	8	7	5
17.05.2017	08.05.2017	12.05.2017	2506	38	26	7	8	8	7	6
10.05.2017	02.05.2017	05.05.2017	2004	36	29	7	7	8	7	6
03.05.2017	24.04.2017	28.04.2017	2502	36	28	8	7	8	8	5
26.04.2017	18.04.2017	21.04.2017	2002	36	30	7	6	8	9	4
19.04.2017	10.04.2017	13.04.2017	2007	36	30	6	6	9	8	5
11.04.2017	03.04.2017	07.04.2017	2502	36	30	7	6	8	8	5
04.04.2017	27.03.2017	31.03.2017	2504	36	29	7	5	9	8	6
